1.69566, 1.6866, 1.66752,
 1.69179, 1.72379, 1.75071,
 1.71403, 1.72629, 1.69343,
 1.70467, 1.72576, 1.70637,
 1.79391, 1.79712, 1.79227,
 1.83608, 1.8077, 1.76245

0.0023933, 0.00218287, 0.0022009, 
0.0035096, 0.00336265, 0.00333254, 
0.0148124, 0.014544, 0.0142567, 
0.160661, 0.162171, 0.162423,
1.76424, 1.79465, 1.79051,
20.5016, 20.4879, 20.4878
